School,Abbreviation,Confernece ,,ATS record 
Abilene Christian,ABIL,WAC,,
Air Force,AF,MWC,,
Akron,AKR,MAC,,
Alabama,ALA,SEC,,
Alabama A&M,AAMU,SWAC,,
Alabama State,ALST,SWAC,,
Albany,ALB,AM East,,
Alcorn State,ALCN,SWAC,,
American University,AMER,Patriot,,
Appalachian State,APP,Sun Belt,,
Arizona,ARI,Pac-12,,
Arizona State,ASU,Pac-12,,
Arkansas,ARK,SEC,,
Arkansas State,ARST,Sun Belt,,
Arkansas-Pine Bluff,UAPB,SWAC,,
Army West Point,ARMY,Patriot,,
Auburn,AUB,SEC,,
Austin Peay,PEAY,A-Sun,,
Ball State,BALL,MAC,,
Baylor,BAY,Big 12,,
Bellarmine,BELL,A-Sun,,
Belmont,BELM,MVC,,
Bethune-Cookman,BCU,SWAC,,
Binghamton,BING,AM East,,
Boise State,BSU,MWC,,
Boston College,BC,ACC,,
Boston University,BU,Patriot,,
Bowling Green,BGSU,MAC,,
Bradley,BRAD,MVC,,
Brigham Young,BYU,Big 12,,
Brown,Brown,Ivy,,
Bryant,BRY,AM East,,
Bucknell,BUCK,Patriot,,
Buffalo,BUF,MAC,,
Butler,BUT,Big East,,
Cal Poly,CP,Big West,,
Cal State Bakersfield,CSUB,Big West,,
Cal State Fullerton,CSUF,Big West,,
Cal State Northridge,CSUN,Big West,,
California,CAL,Pac-12,,
California Baptist,CABP,WAC,,
Campbell,CAMP,CAA,,
Canisius,CAN,MAAC,,
Central Arkansas,CARK,A-Sun,,
Central Connecticut State,CCSU,NEC,,
Central Michigan,CMU,MAC,,
Charleston,COC,CAA,,
Charleston Southern,CHSO,Big South,,
Charlotte,CHAR,AAC,,
Chattanooga,CHAT,SoCon,,
Chicago State,CHST,INDEP,,
Cincinnati,CIN,Big 12,,
Clemson,CLEM,ACC,,
Cleveland State,CLST,Horizon,,
Coastal Carolina,CCU,Sun Belt,,
Colgate,COLG,Patriot,,
Colorado,COLG,Pac-12,,
Colorado State,CSU,MWC,,
Columbia,Colum,Ivy,,
Coppin State,CSU,MEAC,,
Cornell,COR,Ivy,,
Creighton,CREI,Big East,,
Dartmouth,DART,Ivy,,
Davidson,DAV,A-10,,
Dayton,DAY,A-10,,
Delaware,DEL,CAA,,
Delaware State,DSU,MEAC,,
Denver,DU,Summit,,
DePaul,DEP,Big East,,
Detroit-Mercy,DET,Horizon,,
Drake,DRKE,MVC,,
Drexel,DRXL,CAA,,
Duke,DUKE,ACC,,
Duquesne,DUQ,A-10,,
East Carolina,ECU,AAC,,
East Tennessee State,ETSU,SoCon,,
Eastern Illinois,EIU,OVC,,
Eastern Kentucky,EKY,A-Sun,,
Eastern Michigan,EMU,MAC,,
Eastern Washington,EWU,Big Sky,,
Elon,ELON,CAA,,
Evansville,EVAN,MVC,,
Fairfield,FAIR,MAAC,,
Fairleigh Dickinson,FDU,NEC,,
Florida,FLA,SEC,,
Florida A&M,FAMU,SWAC,,
Florida Atlantic,FAU,AAC,,
Florida Gulf Coast,FGCU,A-Sun,,
Florida International,FIU,C-USA,,
Florida State,FSU,ACC,,
Fordham,FOR,A-10,,
Fort Wayne,PFW,Horizon,,
Fresno State,FRES,MWC,,
Furman,FUR,SoCon,,
Gardner-Webb,GWEB,Big South,,
George Mason,GMU,A-10,,
George Washington,GWU,A-10,,
Georgetown,GTWN,Big East,,
Georgia,UGA,SEC,,
Georgia Southern,GASO,Sun Belt,,
Georgia State,GAST,Sun Belt,,
Georgia Tech,GT,ACC,,
Gonzaga,GONZ,WCC,,
Grambling State,GRAM,SWAC,,
Grand Canyon,GCAN,WAC,,
Green Bay,GB,Horizon,,
Hampton,HAMP,CAA,,
Harvard,HARV,Ivy,,
Hawaii,HAW,Big West,,
High Point,HIPT,Big South,,
Hofstra,HOFS,CAA,,
Holy Cross,HC,Patriot,,
Houston,HOU,Big 12,,
Houston Christian,HBU,Southland,,
Howard,HOW,MEAC,,
Idaho,IDHO,Big Sky,,
Idaho State,IDST,Big Sky,,
Illinois,ILL,Big Ten,,
Illinois State,ILST,MVC,,
Illinois-Chicago,UIC,MVC,,
Incarnate Word,UIW,Southland,,
Indiana,IU,Big Ten,,
Indiana State,INST,MVC,,
Iona,IONA,MAAC,,
Iowa,IOWA,Big Ten,,
Iowa State,ISU,Big 12,,
IUPUI,IUPUI,Horizon,,
Jackson State,JAST,SWAC,,
Jacksonville,JU,A-Sun,,
Jacksonville State,JVST,C-USA,,
James Madison,JMU,Sun Belt,,
Kansas,KU,Big 12,,
Kansas City,UMKC,Summit,,
Kansas State,KSU,Big 12,,
Kennesaw State,KENN,A-Sun,,
Kent State,KENT,MAC,,
Kentucky,UK,SEC,,
La Salle,LAS,A-10,,
Lafayette,LAF,Patriot,,
Lamar,LAM,Southland,,
Le Moyne,LeMoyn,NEC,,
Lehigh,LEH,Patriot,,
Liberty,LIB,C-USA,,
Lindenwood,LINW,OVC,,
Lipscomb,LIP,A-Sun,,
Little Rock,UALR,OVC,,
Long Beach State,LBSU,Big West,,
Long Island,LIU,NEC,,
Longwood,LNWD,Big South,,
Louisiana,UL,Sun Belt,,
Louisiana Tech,LT,C-USA,,
Louisiana-Monroe,ULM,Sun Belt,,
Louisville,LOU,ACC,,
Loyola (IL),L-IL,A-10,,
Loyola (MD),L-MD,Patriot,,
Loyola Marymount,LMU,WCC,,
LSU,LSU,SEC,,
Maine,ME,AM East,,
Manhattan,MAN,MAAC,,
Marist,MRST,MAAC,,
Marquette,MARQ,Big East,,
Marshall,MRSH,Sun Belt,,
Maryland,MD,Big Ten,,
Maryland-Eastern Shore,UMES,MEAC,,
Massachusetts,MASS,A-10,,
McNeese State,MCNS,Southland,,
Memphis,MEM,AAC,,
Mercer,MER,SoCon,,
Merrimack College,MRMK,NEC,,
Miami (FL),MIA,ACC,,
Miami (OH),M-OH,MAC,,
Michigan,MICH,Big Ten,,
Michigan State,MSU,Big Ten,,
Middle Tennessee State,MTSU,C-USA,,
Milwaukee,MIL,Horizon,,
Minnesota,MINN,Big Ten,,
Mississippi State,MSST,SEC,,
Mississippi Valley State,MVSU,SWAC,,
Missouri,MIZZ,SEC,,
Missouri State,MOSU,MVC,,
Monmouth,MONM,CAA,,
Montana,MONT,Big Sky,,
Montana State,MTST,Big Sky,,
Morehead State,MORE,OVC,,
Morgan State,MORG,MEAC,,
Mount St. Mary's,MSM,MAAC,,
Murray State,MURR,MVC,,
